id,igralec,ekipa,odigrane_igre,minute_natekmo,toèke_na_tekmo,met_iz_igre,trojke,prosti_meti
3102530,Jusuf Nurkic,DEN/POR,65,21.4,10.2,507,0,571
1015,Tony Parker,SA,63,25.2,10.1,466,333,727
2011,Kyle Korver,ATL/CLE,67,26.2,10.1,464,451,905
6591,Maurice Harkless,POR,77,28.9,10.0,503,351,621
4270,Trevor Booker,BKN,71,24.7,10.0,516,321,673
2534781,Gorgui Dieng,MIN,82,32.4,10.0,502,372,814
2993875,Shabazz Muhammad,MIN,78,19.4,9.9,482,336,774
3936299,Jamal Murray,DEN,82,21.5,9.9,404,334,883
4000,Ty Lawson,SAC,69,25.1,9.9,454,288,797
6603,Jeremy Lamb,CHA,62,18.4,9.7,460,281,853
6433,Kenneth Faried,DEN,61,21.2,9.6,548,0,693
6460,E'Twaun Moore,NO,73,24.9,9.6,457,370,770
3964,Patrick Beverley,HOU,67,30.7,9.5,420,382,768
4004,Patty Mills,SA,80,21.9,9.5,440,414,825
2991042,Nik Stauskas,PHI,80,27.4,9.5,396,368,813
3913176,Brandon Ingram,LAL,79,28.8,9.4,402,294,621
4305,Ish Smith,DET,81,24.1,9.4,439,267,706
6446,Cory Joseph,TOR,80,25.0,9.3,452,356,770
3209,Jeff Green,ORL,69,22.2,9.2,394,275,863
3993,Gerald Henderson,PHI,72,23.2,9.2,424,353,806
3907487,Marquese Chriss,PHX,82,21.3,9.2,449,321,624
6601,Michael Kidd-Gilchrist,CHA,81,29.0,9.2,477,111,784
1007,Joe Johnson,UTAH,78,23.6,9.2,436,411,818
2439,Jameer Nelson,DEN,75,27.3,9.2,444,388,714
2754,Channing Frye,CLE,74,18.9,9.1,458,409,851
1713,Nene Hilario,HOU,67,17.9,9.1,617,333,589
2991055,Montrezl Harrell,HOU,58,18.3,9.1,652,143,628
2367,Tony Allen,MEM,71,27.0,9.1,460,278,615
2489663,Kelly Olynyk,BOS,75,20.5,9.0,512,354,732
4239,Evan Turner,POR,65,25.5,9.0,426,263,825
2528588,Doug McDermott,CHI/OKC,66,22.8,9.0,447,370,845
2327577,JaMychal Green,MEM,77,27.3,8.9,501,382,802
3970,DeMarre Carroll,TOR,72,26.1,8.9,400,341,761
